,training set,tests,correct,incorrect,false positives,false negatives,correctness
0,82,8042,4382,3660,3660,0,54.4889331012186
1,163,7961,4301,3660,3660,0,54.02587614621279
2,244,7880,4220,3660,3660,0,53.55329949238579
3,325,7799,4139,3660,3660,0,53.070906526477756
4,407,7717,4057,3660,3660,0,52.57224309965012
5,488,7636,3976,3660,3660,0,52.06914614981666
6,569,7555,3895,3660,3660,0,51.55526141628061
7,650,7474,3814,3660,3660,0,51.03023815895103
8,732,7392,3732,3660,3660,0,50.48701298701299
9,813,7311,3651,3660,3660,0,49.93844891259746
10,894,7230,3570,3660,3660,0,49.37759336099585
11,975,7149,3489,3660,3660,0,48.8040285354595
12,1057,7067,3407,3660,3660,0,48.20999009480685
13,1138,6986,3326,3660,3660,0,47.60950472373318
14,1219,6905,3245,3660,3660,0,46.99493120926864
15,1300,6824,3164,3660,3660,0,46.36576787807737
16,1382,6742,3082,3660,3660,0,45.713438148917234
17,1463,6661,3001,3660,3660,0,45.05329530100585
18,1544,6580,2920,3660,3660,0,44.37689969604863
19,1625,6499,2839,3660,3660,0,43.68364363748269
20,1707,6417,2757,3660,3660,0,42.964001870032725
21,1788,6336,2676,3660,3660,0,42.234848484848484
22,1869,6255,4755,1500,1500,0,76.01918465227818
23,1950,6174,4674,1500,1500,0,75.70456754130224
24,2032,6092,4592,1500,1500,0,75.37754432042023
25,2113,6011,4511,1500,1500,0,75.04574945932457
26,2194,5930,4430,1500,1500,0,74.70489038785834
27,2275,5849,4541,1308,1308,0,77.63720294067362
28,2356,5768,4460,1308,1308,0,77.32316227461858
29,2438,5686,4378,1308,1308,0,76.9961308476961
30,2519,5605,4297,1308,1308,0,76.66369313113292
31,2600,5524,4216,1308,1308,0,76.32150615496018
32,2681,5443,4135,1308,1308,0,75.9691346683814
33,2763,5361,4053,1308,1308,0,75.60156687185227
34,2844,5280,3972,1308,1308,0,75.22727272727273
35,2925,5199,3891,1308,1308,0,74.84131563762261
36,3006,5118,3810,1308,1308,0,74.44314185228605
37,3088,5036,3728,1308,1308,0,74.02700555996823
38,3169,4955,3647,1308,1308,0,73.60242179616549
39,3250,4874,3566,1308,1308,0,73.16372589249077
40,3331,4793,3485,1308,1308,0,72.7102023784686
41,3413,4711,3403,1308,1308,0,72.23519422627892
42,3494,4630,3322,1308,1308,0,71.74946004319655
43,3575,4549,3241,1308,1308,0,71.24642778632666
44,3656,4468,3160,1308,1308,0,70.72515666965086
45,3738,4386,3078,1308,1308,0,70.17783857729138
46,3819,4305,2997,1308,1308,0,69.61672473867596
47,3900,4224,2916,1308,1308,0,69.0340909090909
48,3981,4143,2835,1308,1308,0,68.42867487328023
49,4063,4061,3329,732,732,0,81.97488303373554
50,4144,3980,3148,832,684,148,79.09547738693468
51,4225,3899,3067,832,684,148,78.66119517825084
52,4306,3818,2986,832,684,148,78.20848611838659
53,4387,3737,3441,296,100,196,92.07920792079207
54,4469,3655,3359,296,100,196,91.9015047879617
55,4550,3574,3394,180,36,144,94.96362618914381
56,4631,3493,3313,180,36,144,94.84683653020326
57,4712,3412,3232,180,36,144,94.72450175849941
58,4794,3330,3150,180,36,144,94.5945945945946
59,4875,3249,3193,56,48,8,98.27639273622653
60,4956,3168,3112,56,48,8,98.23232323232324
61,5037,3087,3031,56,48,8,98.1859410430839
62,5119,3005,2953,52,44,8,98.26955074875208
63,5200,2924,2872,52,44,8,98.22161422708618
64,5281,2843,2791,52,44,8,98.17094618360886
65,5362,2762,2710,52,44,8,98.11730629978277
66,5444,2680,2628,52,44,8,98.05970149253731
67,5525,2599,2547,52,44,8,97.99923047325895
68,5606,2518,2466,52,44,8,97.93486894360603
69,5687,2437,2385,52,44,8,97.86622897004514
70,5769,2355,2303,52,44,8,97.79193205944799
71,5850,2274,2222,52,44,8,97.71328056288479
72,5931,2193,2141,52,44,8,97.62881896944825
73,6012,2112,2060,52,44,8,97.53787878787878
74,6094,2030,1978,52,44,8,97.4384236453202
75,6175,1949,1897,52,44,8,97.33196511031298
76,6256,1868,1816,52,44,8,97.21627408993577
77,6337,1787,1735,52,44,8,97.09009513150532
78,6418,1706,1690,16,8,8,99.06213364595546
79,6500,1624,1608,16,8,8,99.01477832512315
80,6581,1543,1527,16,8,8,98.96305897602073
81,6662,1462,1446,16,8,8,98.90560875512996
82,6743,1381,1365,16,8,8,98.84141926140478
83,6825,1299,1283,16,8,8,98.76828329484219
84,6906,1218,1202,16,8,8,98.68637110016421
85,6987,1137,1133,4,0,4,99.64819700967458
86,7068,1056,1052,4,0,4,99.62121212121212
87,7150,974,970,4,0,4,99.58932238193019
88,7231,893,893,0,0,0,100.0
89,7312,812,812,0,0,0,100.0
