,training set,tests,correct,incorrect,false positives,false negatives,correctness
0,82,8042,7994,48,0,48,99.40313354886844
1,163,7961,7937,24,8,16,99.698530335385
2,244,7880,7752,128,32,96,98.3756345177665
3,325,7799,7743,56,32,24,99.28195922554174
4,407,7717,7701,16,8,8,99.79266554360503
5,488,7636,7620,16,8,8,99.79046621267679
6,569,7555,7539,16,8,8,99.78821972203839
7,650,7474,7458,16,8,8,99.78592453839978
8,732,7392,7376,16,8,8,99.78354978354979
9,813,7311,7295,16,8,8,99.7811516892354
10,894,7230,7208,22,16,6,99.6957123098202
11,975,7149,7127,22,16,6,99.69226465239893
12,1057,7067,7045,22,16,6,99.68869392953162
13,1138,6986,6964,22,16,6,99.68508445462354
14,1219,6905,6883,22,16,6,99.68139029688632
15,1300,6824,6802,22,16,6,99.67760844079719
16,1382,6742,6720,22,16,6,99.67368733313556
17,1463,6661,6639,22,16,6,99.66971926137217
18,1544,6580,6566,14,8,6,99.7872340425532
19,1625,6499,6485,14,8,6,99.78458224342207
20,1707,6417,6403,14,8,6,99.78182951534986
21,1788,6336,6322,14,8,6,99.7790404040404
22,1869,6255,6241,14,8,6,99.7761790567546
23,1950,6174,6170,4,0,4,99.93521218011014
24,2032,6092,6088,4,0,4,99.93434011818779
25,2113,6011,6007,4,0,4,99.93345533189154
26,2194,5930,5926,4,0,4,99.93254637436762
27,2275,5849,5845,4,0,4,99.93161224140879
28,2356,5768,5764,4,0,4,99.93065187239945
29,2438,5686,5682,4,0,4,99.92965177629264
30,2519,5605,5601,4,0,4,99.92863514719001
31,2600,5524,5520,4,0,4,99.9275887038378
32,2681,5443,5439,4,0,4,99.92651111519383
33,2763,5361,5357,4,0,4,99.92538705465398
34,2844,5280,5276,4,0,4,99.92424242424242
35,2925,5199,5195,4,0,4,99.92306212733217
36,3006,5118,5114,4,0,4,99.92184447049628
37,3088,5036,5032,4,0,4,99.92057188244638
38,3169,4955,4951,4,0,4,99.91927346115035
39,3250,4874,4870,4,0,4,99.91793188346327
40,3331,4793,4789,4,0,4,99.91654496140204
41,3413,4711,4707,4,0,4,99.91509233708342
42,3494,4630,4626,4,0,4,99.91360691144709
43,3575,4549,4545,4,0,4,99.91206858650253
44,3656,4468,4464,4,0,4,99.91047448522829
45,3738,4386,4382,4,0,4,99.90880072959416
46,3819,4305,4305,0,0,0,100.0
47,3900,4224,4224,0,0,0,100.0
48,3981,4143,4143,0,0,0,100.0
49,4063,4061,4061,0,0,0,100.0
50,4144,3980,3980,0,0,0,100.0
51,4225,3899,3899,0,0,0,100.0
52,4306,3818,3818,0,0,0,100.0
53,4387,3737,3737,0,0,0,100.0
54,4469,3655,3655,0,0,0,100.0
55,4550,3574,3574,0,0,0,100.0
56,4631,3493,3493,0,0,0,100.0
57,4712,3412,3412,0,0,0,100.0
58,4794,3330,3330,0,0,0,100.0
59,4875,3249,3249,0,0,0,100.0
60,4956,3168,3168,0,0,0,100.0
61,5037,3087,3087,0,0,0,100.0
62,5119,3005,3005,0,0,0,100.0
63,5200,2924,2924,0,0,0,100.0
64,5281,2843,2843,0,0,0,100.0
65,5362,2762,2762,0,0,0,100.0
66,5444,2680,2680,0,0,0,100.0
67,5525,2599,2599,0,0,0,100.0
68,5606,2518,2518,0,0,0,100.0
69,5687,2437,2437,0,0,0,100.0
70,5769,2355,2355,0,0,0,100.0
71,5850,2274,2274,0,0,0,100.0
72,5931,2193,2193,0,0,0,100.0
73,6012,2112,2112,0,0,0,100.0
74,6094,2030,2030,0,0,0,100.0
75,6175,1949,1949,0,0,0,100.0
76,6256,1868,1868,0,0,0,100.0
77,6337,1787,1787,0,0,0,100.0
78,6418,1706,1706,0,0,0,100.0
79,6500,1624,1624,0,0,0,100.0
80,6581,1543,1543,0,0,0,100.0
81,6662,1462,1462,0,0,0,100.0
82,6743,1381,1381,0,0,0,100.0
83,6825,1299,1299,0,0,0,100.0
84,6906,1218,1218,0,0,0,100.0
85,6987,1137,1137,0,0,0,100.0
86,7068,1056,1056,0,0,0,100.0
87,7150,974,974,0,0,0,100.0
88,7231,893,893,0,0,0,100.0
89,7312,812,812,0,0,0,100.0
